line name;station_name
U6;Garching, Forschungszentrum
U6;Garching
U6;Garching-Hochbrück
U6;Fröttmaning
U6;Kieferngarten
U6;Freimann
U6;Studentenstadt
U6;Alte Heide
U6;Nordfriedhof
U6;Dietlindenstraße
U6;Münchner Freiheit
U6;Giselastraße
U6;Universität
U6;Odeonsplatz
U6;Marienplatz
U6;Sendlinger Tor
U6;Goetheplatz
U6;Poccistraße
U6;Implerstraße
U6;Harras
U6;Partnachplatz
U6;Westpark
U6;Holzapfelkreuth
U6;Haderner Stern
U6;Großhadern
U3;Moosach
U3;Moosacher St.-Martins-Platz
U3;Olympia-Einkaufszentrum
U3;Oberwiesenfeld
U3;Olympiazentrum
U3;Petuelring
U3;Scheidplatz
U3;Bonner Platz
U3;Münchner Freiheit
U3;Giselastraße
U3;Universität
U3;Odeonsplatz
U3;Marienplatz
U3;Sendlinger Tor
U3;Goetheplatz
U3;Poccistraße
U3;Implerstraße
U3;Brudermühlstraße
U3;Thalkirchen (Tierpark)
U3;Obersendling
U3;Aidenbachstraße
U3;Machtlfinger Straße
U3;Forstenrieder Allee
U3;Basler Straße
U3;Fürstenried West
U1;Olympia-Einkaufszentrum
U1;Georg-Brauchle-Ring
U1;Westfriedhof
U1;Gern
U1;Rotkreuzplatz
U1;Maillingerstraße
U1;Stiglmaierplatz
U1;Hauptbahnhof
U1;Sendlinger Tor
U1;Fraunhoferstraße
U1;Kolumbusplatz
U1;Candidplatz
U1;Wettersteinplatz
U1;St.-Quirin-Platz
U1;Mangfallplatz
U2;Messestadt Ost
U2;Messestadt West
U2;Moosfeld
U2;Trudering
U2;Kreillerstraße
U2;Josephsburg
U2;Innsbrucker Ring
U2;Karl-Preis-Platz
U2;Giesing
U2;Untersbergstraße
U2;Silberhornstraße
U2;Kolumbusplatz
U2;Fraunhoferstraße
U2;Sendlinger Tor
U2;Hauptbahnhof
U2;Königsplatz
U2;Theresienstraße
U2;Josephsplatz
U2;Hohenzollernplatz
U2;Scheidplatz
U2;Milbertshofen
U2;Frankfurter Ring
U2;Am Hart
U2;Harthof
U2;Dülferstraße
U2;Hasenbergl
U2;Feldmoching
U4;Westendstraße
U4;Heimeranplatz
U4;Schwanthalerhöhe
U4;Theresienwiese
U4;Hauptbahnhof
U4;Karlsplatz (Stachus)
U4;Odeonsplatz
U4;Lehel
U4;Max-Weber-Platz
U4;Prinzregentenplatz
U4;Böhmerwaldplatz
U4;Richard-Strauss-Straße
U4;Arabellapark
U5;Neuperlach Süd
U5;Therese-Giehse-Allee
U5;Neuperlach Zentrum
U5;Quiddestraße
U5;Michaelibad
U5;Innsbrucker Ring
U5;Ostbahnhof
U5;Max-Weber-Platz
U5;Lehel
U5;Odeonsplatz
U5;Karlsplatz (Stachus)
U5;Hauptbahnhof
U5;Theresienwiese
U5;Schwanthalerhöhe
U5;Heimeranplatz
U5;Westendstraße
U5;Friedenheimer Straße
U5;Laimer Platz
U7;Olympia-Einkaufszentrum
U7;Georg-Brauchle-Ring
U7;Westfriedhof
U7;Gern
U7;Rotkreuzplatz
U7;Maillingerstraße
U7;Stiglmaierplatz
U7;Hauptbahnhof
U7;Sendlinger Tor
U7;Fraunhoferstraße
U7;Kolumbusplatz
U7;Silberhornstraße
U7;Untersbergstraße
U7;Giesing
U7;Karl-Preis-Platz
U7;Innsbrucker Ring
U7;Michaelibad
U7;Quiddestraße
U7;Neuperlach Zentrum
U8;Olympiazentrum
U8;Petuelring
U8;Scheidplatz
U8;Hohenzollernplatz
U8;Josephsplatz
U8;Theresienstraße
U8;Königsplatz
U8;Hauptbahnhof
U8;Sendlinger Tor
U8;Fraunhoferstraße
U8;Kolumbusplatz
U8;Silberhornstraße
U8;Untersbergstraße
U8;Giesing
U8;Karl-Preis-Platz
U8;Innsbrucker Ring
U8;Michaelibad
U8;Quiddestraße
U8;Neuperlach Zentrum